"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2024-08-26","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","81087","","206548"
"2024-08-26","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","213579","","164764"
"2024-08-26","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14502","","121228"
"2024-08-26","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","31725","","185252"
"2024-08-26","Koko maa","Koko maa","","","","","","160842"
"2024-08-26","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","11927","","98717"
"2024-08-26","Taskila","Oulu","200000","havaittu, yli määritysrajan","","48215","","80783"
"2024-08-26","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","18900","","194830"
"2024-08-26","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","63126","","203000"
"2024-08-26","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","56029","","120633"
"2024-08-26","Pått","Vaasa","69500","havaittu, yli määritysrajan","","17355","","194187"
"2024-08-12","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","229721","","280945"
"2024-07-29","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","70955","","41072"
"2024-07-29","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","194263","","131671"
"2024-07-29","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","13622","","97171"
"2024-07-29","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","29583","","156243"
"2024-07-29","Koko maa","Koko maa","","","","","","112119"
"2024-07-29","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","13781","","91675"
"2024-07-29","Taskila","Oulu","200000","havaittu, yli määritysrajan","","46140","","78735"
"2024-07-29","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","18543","","160620"
"2024-07-29","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","62060","","192571"
"2024-07-29","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","52461","","101497"
"2024-07-29","Pått","Vaasa","69500","havaittu, yli määritysrajan","","21824","","90493"
"2024-07-01","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","69325","","72820"
"2024-07-01","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","197644","","108134"
"2024-07-01","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","15039","","34219"
"2024-07-01","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","28960","","102769"
"2024-07-01","Koko maa","Koko maa","","","","","","92189"
"2024-07-01","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","11943","","82333"
"2024-07-01","Taskila","Oulu","200000","havaittu, yli määritysrajan","","43534","","48237"
"2024-07-01","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","16942","","200571"
"2024-07-01","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","69784","","109477"
"2024-07-01","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","56397","","105342"
"2024-07-01","Pått","Vaasa","69500","havaittu, yli määritysrajan","","12910","","58567"
"2024-06-17","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","76798","","70288"
"2024-06-17","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","209373","","61968"
"2024-06-17","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","16664","","18608"
"2024-06-17","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","31949","","107080"
"2024-06-17","Koko maa","Koko maa","","","","","","66788"
"2024-06-17","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","12250","","44473"
"2024-06-17","Taskila","Oulu","200000","havaittu, yli määritysrajan","","48424","","41108"
"2024-06-17","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","a","19846","","142317"
"2024-06-17","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","66210","","107758"
"2024-06-17","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","a","61574","","54984"
"2024-06-17","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15233","","61394"
"2024-06-03","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","224657","","3044"
"2024-05-20","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","91905","","14165"
"2024-05-20","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","241925","","12509"
"2024-05-20","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","22394","","33581"
"2024-05-20","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","37339","","32535"
"2024-05-20","Koko maa","Koko maa","","","","","","18886"
"2024-05-20","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","18734","","24568"
"2024-05-20","Taskila","Oulu","200000","havaittu, yli määritysrajan","","52577","","17007"
"2024-05-20","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","25755","","32684"
"2024-05-20","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","68164","","22076"
"2024-05-20","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","64894","","28673"
"2024-05-20","Pått","Vaasa","69500","havaittu, yli määritysrajan","","16688","","8847"
"2024-05-06","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","110623","","25394"
"2024-05-06","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","273220","","23229"
"2024-05-06","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","28886","","27215"
"2024-05-06","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","43816","","30724"
"2024-05-06","Koko maa","Koko maa","","","","","","26822"
"2024-05-06","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","24908","","13987"
"2024-05-06","Taskila","Oulu","200000","havaittu, yli määritysrajan","","75378","","43890"
"2024-05-06","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","35222","","26256"
"2024-05-06","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","77307","","24866"
"2024-05-06","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","79719","","34739"
"2024-05-06","Pått","Vaasa","69500","havaittu, yli määritysrajan","","20140","","9577"
"2024-04-22","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","114011","","28700"
"2024-04-22","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","302028","","23411"
"2024-04-22","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","26636","","10824"
"2024-04-22","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","46117","","11842"
"2024-04-22","Koko maa","Koko maa","","","","","","22650"
"2024-04-22","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","24596","","10832"
"2024-04-22","Taskila","Oulu","200000","havaittu, yli määritysrajan","","59116","","61207"
"2024-04-22","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","17073","","24249"
"2024-04-22","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","85819","","22375"
"2024-04-22","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","93292","","2222"
"2024-04-22","Pått","Vaasa","69500","havaittu, yli määritysrajan","","20872","","12165"
"2024-04-08","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","152231","","21693"
"2024-04-08","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","416716","","27160"
"2024-04-08","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","26380","","11945"
"2024-04-08","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","49321","","13925"
"2024-04-08","Koko maa","Koko maa","","","","","","19791"
"2024-04-08","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","20329","","8352"
"2024-04-08","Taskila","Oulu","200000","havaittu, yli määritysrajan","","47503","","13979"
"2024-04-08","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","13252","","15195"
"2024-04-08","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","92054","","14645"
"2024-04-08","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","117273","","17577"
"2024-04-08","Pått","Vaasa","69500","havaittu, alle määritysrajan","","38667","",""
"2024-04-02","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","150795","","114078"
"2024-04-02","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","362880","","54552"
"2024-04-02","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","25821","","14990"
"2024-04-02","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","56870","","30114"
"2024-04-02","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","20765","","29122"
"2024-04-02","Taskila","Oulu","200000","havaittu, yli määritysrajan","","49884","","102832"
"2024-04-02","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12473","","294719"
"2024-04-02","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","104156","","35763"
"2024-04-02","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","141673","","23573"
"2024-04-02","Pått","Vaasa","69500","havaittu, yli määritysrajan","","30156","","7946"
"2024-04-01","Koko maa","Koko maa","","","","","","62753"
"2024-03-25","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","167441","","106927"
"2024-03-25","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","444141","","38126"
"2024-03-25","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","18931","","18549"
"2024-03-25","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","40774","","83691"
"2024-03-25","Koko maa","Koko maa","","","","","","42605"
"2024-03-25","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","17533","","16348"
"2024-03-25","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","20650","","8701"
"2024-03-25","Taskila","Oulu","200000","havaittu, yli määritysrajan","","44050","","17074"
"2024-03-25","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","13319","","20217"
"2024-03-25","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","94522","","17446"
"2024-03-25","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","125261","","12539"
"2024-03-25","Pått","Vaasa","69500","havaittu, yli määritysrajan","","21009","","7228"
"2024-03-18","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","235234","","33823"
"2024-03-18","Viikinmäki","Helsinki","860000","havaittu, alle määritysrajan","","513283","",""
"2024-03-18","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","22632","","15586"
"2024-03-18","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","54578","","15270"
"2024-03-18","Koko maa","Koko maa","","","","","","15725"
"2024-03-18","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","21929","","12795"
"2024-03-18","Taskila","Oulu","200000","havaittu, yli määritysrajan","","41605","","14965"
"2024-03-18","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","15338","","34179"
"2024-03-18","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","124717","","31716"
"2024-03-18","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","166185","","21180"
"2024-03-18","Pått","Vaasa","69500","havaittu, yli määritysrajan","","25358","","9413"
"2024-03-12","Pått","Vaasa","69500","havaittu, yli määritysrajan","","18682","","6314"
"2024-03-11","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","111198","","24500"
"2024-03-11","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","270534","","22240"
"2024-03-11","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","15790","","14580"
"2024-03-11","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","33464","","18953"
"2024-03-11","Koko maa","Koko maa","","","","","","18908"
"2024-03-11","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","12837","","22211"
"2024-03-11","Taskila","Oulu","200000","havaittu, yli määritysrajan","","37898","","23372"
"2024-03-11","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","15648","","54255"
"2024-03-11","Viinikanlahti","Tampere","200000","havaittu, alle määritysrajan","","72070","",""
"2024-03-11","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","84002","","7821"
"2024-03-04","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","128128","","11619"
"2024-03-04","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","331476","","13049"
"2024-03-04","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","15435","","16386"
"2024-03-04","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","34221","","13368"
"2024-03-04","Koko maa","Koko maa","","","","","","12102"
"2024-03-04","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","13723","","5029"
"2024-03-04","Taskila","Oulu","200000","havaittu, yli määritysrajan","","46221","","16713"
"2024-03-04","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","16202","","76688"
"2024-03-04","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","77256","","7105"
"2024-03-04","Kakolanmäki","Turku","300000","havaittu, alle määritysrajan","","130960","",""
"2024-03-04","Pått","Vaasa","69500","ei havaittu","","21566","",""
"2024-02-26","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","b","223098","","16987"
"2024-02-26","Viikinmäki","Helsinki","860000","havaittu, alle määritysrajan","","542336","",""
"2024-02-26","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","18428","","30160"
"2024-02-26","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","35553","","40999"
"2024-02-26","Koko maa","Koko maa","","","","","","16841"
"2024-02-26","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15300","","15088"
"2024-02-26","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","b","30289","","35999"
"2024-02-26","Taskila","Oulu","200000","havaittu, yli määritysrajan","","47614","","24862"
"2024-02-26","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","16364","","37606"
"2024-02-26","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","84831","","23518"
"2024-02-26","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","201702","","35825"
"2024-02-26","Pått","Vaasa","69500","havaittu, yli määritysrajan","","19949","","8629"
"2024-02-19","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","148341","","117842"
"2024-02-19","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","325677","","19278"
"2024-02-19","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14271","","15441"
"2024-02-19","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","32265","","15135"
"2024-02-19","Koko maa","Koko maa","","","","","","35252"
"2024-02-19","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","12965","","21658"
"2024-02-19","Taskila","Oulu","200000","havaittu, yli määritysrajan","","43983","","35285"
"2024-02-19","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","15579","","36499"
"2024-02-19","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","73040","","14635"
"2024-02-19","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","121788","","15083"
"2024-02-19","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15392","","5185"
"2024-02-12","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","92719","","40527"
"2024-02-12","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","251566","","20564"
"2024-02-12","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14354","","14182"
"2024-02-12","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","30938","","35298"
"2024-02-12","Koko maa","Koko maa","","","","","","29503"
"2024-02-12","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","12645","","25899"
"2024-02-12","Taskila","Oulu","200000","havaittu, yli määritysrajan","","43802","","29157"
