"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Virtaama","Menetelmä","Epävarmuus-tekijät","Koronavirus-tulos näytteestä","Normalisoitu RNA-lukumäärä"
"2025-12-15","Aggregoitu","Aggregoitu","","","dPCR A","","","68043"
"2025-12-14","Viikinmäki","Helsinki","910000","387081","dPCR A","","Havaittiin","64067"
"2025-12-14","Kuhasalo","Joensuu","98000","16431","dPCR A","","Havaittiin","72015"
"2025-12-14","Lehtoniemi","Kuopio","95400","18169","dPCR A","","Havaittiin","61427"
"2025-12-14","Taskila","Oulu","200000","52533","dPCR A","","Havaittiin","75671"
"2025-12-14","Alakorkalo","Rovaniemi","55000","18815","dPCR A","","Havaittiin","126011"
"2025-12-14","Kakolanmäki","Turku","300000","126510","dPCR A","","Havaittiin","69091"
"2025-12-14","Pått","Vaasa","69500","20585","dPCR A","","Havaittiin","51235"
"2025-11-24","Aggregoitu","Aggregoitu","","","dPCR A","","","45205"
"2025-11-23","Viikinmäki","Helsinki","910000","303306","dPCR A","","Havaittiin","42868"
"2025-11-23","Kuhasalo","Joensuu","98000","17943","dPCR A","","Havaittiin","39768"
"2025-11-23","Lehtoniemi","Kuopio","95400","16950","dPCR A","","Havaittiin","45795"
"2025-11-23","Taskila","Oulu","200000","45986","dPCR A","","Havaittiin","54794"
"2025-11-23","Alakorkalo","Rovaniemi","55000","18273","dPCR A","","Havaittiin","173010"
"2025-11-23","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","26814"
"2025-11-23","Kakolanmäki","Turku","300000","136005","dPCR A","","Havaittiin","35144"
"2025-11-23","Pått","Vaasa","69500","22073","dPCR A","","Havaittiin","50277"
"2025-11-17","Aggregoitu","Aggregoitu","","","dPCR A","","","29708"
"2025-11-16","Viikinmäki","Helsinki","910000","339106","dPCR A","(a)","Havaittiin","19635"
"2025-11-16","Kuhasalo","Joensuu","98000","16620","dPCR A","","Havaittiin","23555"
"2025-11-16","Lehtoniemi","Kuopio","95400","16216","dPCR A","","Havaittiin","30443"
"2025-11-16","Taskila","Oulu","200000","50042","dPCR A","","Havaittiin","38553"
"2025-11-16","Alakorkalo","Rovaniemi","55000","18433","dPCR A","","Havaittiin","162105"
"2025-11-16","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","31082"
"2025-11-16","Pått","Vaasa","69500","17418","dPCR A","","Havaittiin","35079"
"2025-11-10","Aggregoitu","Aggregoitu","","","dPCR A","","","27549"
"2025-11-09","Viikinmäki","Helsinki","910000","285092","dPCR A","","Havaittiin","20713"
"2025-11-09","Kuhasalo","Joensuu","98000","15787","dPCR A","","Havaittiin","4891"
"2025-11-09","Lehtoniemi","Kuopio","95400","20675","dPCR A","","Havaittiin","65394"
"2025-11-09","Taskila","Oulu","200000","44137","dPCR A","","Havaittiin","32092"
"2025-11-09","Alakorkalo","Rovaniemi","55000","18168","dPCR A","","Havaittiin","81331"
"2025-11-09","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","30436"
"2025-11-09","Kakolanmäki","Turku","300000","107491","dPCR A","","Havaittiin","30246"
"2025-11-09","Pått","Vaasa","69500","16513","dPCR A","","Havaittiin","21483"
"2025-11-03","Aggregoitu","Aggregoitu","","","dPCR A","","","31837"
"2025-11-02","Viikinmäki","Helsinki","910000","364091","dPCR A","","Havaittiin","25866"
"2025-11-02","Kuhasalo","Joensuu","98000","16607","dPCR A","","Havaittiin","16467"
"2025-11-02","Lehtoniemi","Kuopio","95400","16627","dPCR A","","Havaittiin","67435"
"2025-11-02","Taskila","Oulu","200000","41847","dPCR A","","Havaittiin","37029"
"2025-11-02","Alakorkalo","Rovaniemi","55000","19369","dPCR A","","Havaittiin","89844"
"2025-11-02","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","41463"
